"badword","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"wine",NA,0,"galway girl","Ed Sheeran",171,2,"alcohol & drugs","^wine$",2019,1,1,"Our coats both smell of smoke, whisky and wine",NA
"ass",180,0,"gdfr","Flo Rida",173,1,"profanity","^ass$",2015,1,1,"Get that ass on the floor",NA
"blow",180,0,"gdfr","Flo Rida",173,1,"alcohol & drugs","^blow",2015,1,1,"My team blowin' on that slam","It's goin' down for real"
"freak",180,0,"gdfr","Flo Rida",173,3,"sexual","^freak",2015,1,1,"If you're a freak, then you comin' home with me","If you can dance then you're dancing here with me"
"kiss",180,0,"gdfr","Flo Rida",173,1,"sexual","^kiss",2015,1,1,"Yo' girl just kissed a girl, I do bi chicks","Your girl just danced the twirl"
"man",180,0,"gdfr","Flo Rida",173,1,"identity","^man$",2015,1,1,"We the plus, your man a minus","It's goin' down for real"
"touch",180,0,"gdfr","Flo Rida",173,1,"sexual","^touch",2015,1,1,"My touch say it's the Midas","It's goin' down for real"
"ass",181,0,"get the party started","P!nk",174,1,"profanity","^ass$",2002,1,1,"I'll be burning rubber, you'll be kissing my ass","I'll be burnin' rubber, you'll be watchin' me pass"
"kiss",181,0,"get the party started","P!nk",174,1,"sexual","^kiss",2002,1,1,"I'll be burning rubber, you'll be kissing my ass","I'll be burnin' rubber, you'll be watchin' me pass"
"demon",182,4,"ghost","Ella Henderson",175,7,"other","^demon",2015,1,1,"And at most, I'm sleeping all these demons away","And at most I'm sleeping all these demons away"
"pray",182,4,"ghost","Ella Henderson",175,7,"other","^pray",2015,1,1,"I keep going to the river to pray","I keep going to the river to pray"
"sleep",182,4,"ghost","Ella Henderson",175,7,"sexual","^sleep",2015,1,1,"And at most, I'm sleeping all these demons away","And at most I'm sleeping all these demons away"
"pills",NA,0,"giant","Calvin Harris & Rag’n’Bone Man",176,1,"alcohol & drugs","^pills$",2019,1,1,"I saw the pills on the table for your unrequited love",NA
"drunk",188,0,"girls like you","Maroon 5",182,1,"alcohol & drugs","^drunk",2018,1,1,"Maybe I know that I'm drunk","'Til sundown when I come through"
"shit",188,0,"girls like you","Maroon 5",182,1,"profanity","^shit",2018,1,1,"Maybe you've taken my shit for the last time (yeah)","Oh, 'cause girls like you run 'round with guys like me (Girls like you)"
"ass",190,0,"glamorous","Fergie",184,7,"profanity","^ass$",2007,1,1,"If you ain't got no money, take yo' broke ass home, you say it!","If you ain't got no money take your broke self home"
"champagne",190,0,"glamorous","Fergie",184,4,"alcohol & drugs","^champagne$",2007,1,1,"Popping champagne","We flyin' first class, livin' the life"
"damn",190,0,"glamorous","Fergie",184,1,"profanity","^damn",2007,1,1,"Damn, it's been a long road and the industry is cold",NA
"dope",190,0,"glamorous","Fergie",184,1,"alcohol & drugs","^dope",2007,1,1,"When I'd rock on MTV, that'd be really dope",NA
"fetish",190,0,"glamorous","Fergie",184,1,"other","^fetish",2007,1,1,"Plus I gotta keep enough lettuce to support your shoe fetish",NA
"fuck",190,0,"glamorous","Fergie",184,1,"profanity","fuck",2007,1,1,"Telling me these crazy things that I don't wanna know (Fuck y'all)",NA
"hell",190,0,"glamorous","Fergie",184,1,"profanity","^hell$",2007,1,1,"I still go to Taco Bell, drive-thru, raw as hell","By the glamorous, ooh, the flossy, flossy"
"god",191,4,"god's plan","Drake",608,6,"other","^god",2018,1,1,"God's plan, God's plan","God's plan, God's plan"
"die",191,0,"god's plan","Drake",608,1,"violence","^die$",2018,1,1,"I don't wanna die for them to miss me","I don't wanna go for them to miss me"
"shit",191,0,"god's plan","Drake",608,2,"profanity","^shit",2018,1,1,"They gon' tell the story, shit was different with me","They gon' tell the story, that was different with me"
"bodies",192,0,"gold","Kiiara",185,2,"sexual","^bodies$",2017,1,1,"Bodies on the pavement","Without ever letting you know"
"drink",196,0,"good  old days","Macklemore",609,1,"alcohol & drugs","^drink",2018,1,1,"Wish I didn't drink all of that flask first","Wish I didn't think all of that stuff first"
"bottle",196,0,"good  old days","Macklemore",609,1,"alcohol & drugs","^bottle",2018,1,1,"Wish I put the bottle back on that shelf","Wish I put those things back on that shelf"
"drink",194,0,"good feeling","Flo Rida",186,1,"alcohol & drugs","^drink",2012,1,1,"Like you the one drinking what God sip—dot com","Yeah I got a brand new spirit"
"god",194,0,"good feeling","Flo Rida",186,1,"other","^god",2012,1,1,"Like you the one drinking what God sip—dot com","Yeah I got a brand new spirit"
"tongue",194,0,"good feeling","Flo Rida",186,1,"sexual","^tongue",2012,1,1,"Now I gotta word for your tongue","Speak it and it's done"
"fight",195,1,"good life","OneRepublic",187,3,"violence","^fight",2012,1,1,"Say oh, got this feeling that you can't fight","This could really be a good life, a good, good life"
"dammit",198,0,"gotta be somebody","Nickelback",190,1,"profanity","^dammit$",2009,1,1,"And dammit, this feels too right","Is it that moment when I find the one that I'll spend forever with"
"high",203,1,"happy","Pharrell Williams",194,3,"alcohol & drugs","^high$",2014,1,1,"My level's too high to bring me down","Bring me down can nothing"
"touch",205,0,"hate that i love you","Rihanna",195,1,"sexual","^touch",2008,1,1,"You know exactly how to touch","And I hate how much I love you, boy"
"damn",206,0,"havana","Camila Cabello",196,1,"profanity","^damn",2018,1,1,"Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta)","(Ooh-na-na), Oh-na-na, take me back, back, back"
"kiss",212,2,"he loves u not","Dream (Girl Group)",197,4,"sexual","^kiss",2002,1,1,"Try to tempt him with a sweet kiss","No matter what you do, he's never gonna be with you"
"woman",209,0,"heartless","Kanye West",200,4,"identity","^woman$",2009,1,1,"He lost his soul to a woman so heartless","How could you be so cold as the winter wind when it breeze, yo?"
"marijuana",213,0,"here","Alessia Cara",205,1,"alcohol & drugs","^marijuana",2016,1,1,"Under clouds of marijuana","With this boy who's hollering"
"sleep",NA,0,"here with me (ft. chvrches)","Marshmello",206,1,"sexual","^sleep",2019,1,1,"Every single night, I find it harder to sleep",NA
"hips",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,2,"sexual","^hips$",2003,1,1,"When you rock your hips you know that, it amaze me",NA
"sex",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,2,"sexual","^sex",2003,1,1,"Watching boys and girls and their sex appeal",NA
"kill",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,1,"violence","^kill",2003,1,1,"Check it out, it’s Bounty Killer and No Doubt!",NA
"high",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,2,"alcohol & drugs","^high$",2003,1,1,"And went to my high school",NA
"crazy",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,2,"other","^crazy$",2003,1,1,"Jump on the stage makes me going crazy",NA
"sin",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,1,"other","^sin$",2003,1,1,"With my makeup bag watching all the sin",NA
"sippin",NA,0,"hey baby (ft. bounty killer)","No Doubt",210,2,"alcohol & drugs","^sippin",2003,1,1,"I’m just sippin' on chamomile",NA
"demon",NA,0,"hey look ma, i made it","Panic! at the Disco",211,1,"other","^demon",2019,1,1,"This world is full of demons",NA
"evil",NA,0,"hey look ma, i made it","Panic! at the Disco",211,2,"other","^evil",2019,1,1,"In the garden of evil",NA
"pimp",NA,0,"hey look ma, i made it","Panic! at the Disco",211,1,"sexual","^pimp",2019,1,1,"And my pimp's a record label",NA
"pray",NA,0,"hey look ma, i made it","Panic! at the Disco",211,2,"other","^pray",2019,1,1,"I'll be praying for the faithless",NA
"bitch",217,0,"hey mama","David Guetta",212,1,"profanity","^bitch",2015,1,1,"None of them bitches ain't taking you, just tell them to make a U","Like hey mama, mama, hey mama, ma"
"dick",217,0,"hey mama","David Guetta",212,1,"sexual","^dick",2015,1,1,"Whole crew got the juice, yo' dick game the truth","Like hey mama, mama, hey mama, ma"
"woman",217,0,"hey mama","David Guetta",212,9,"identity","^woman$",2015,1,1,"Be my woman, girl, I'll be your man","Be my only girl I'll, be your one"
"freak",217,0,"hey mama","David Guetta",212,1,"sexual","^freak",2015,1,1,"Keep him pleased, rub him down, be a lady and a freak, oh",NA
"fuck",217,0,"hey mama","David Guetta",212,1,"profanity","fuck",2015,1,1,"It ain't nothin' new, I been fuckin' with you","I wanna hear you callin' my name"
"juice",217,0,"hey mama","David Guetta",212,1,"alcohol & drugs","^juice$",2015,1,1,"Whole crew got the juice, yo' dick game the truth","Like hey mama, mama, hey mama, ma"
"man",217,0,"hey mama","David Guetta",212,8,"identity","^man$",2015,1,1,"Be my woman, girl, I'll be your man","Be my only girl I'll, be your one"
"ice",220,0,"hey ya!","OutKast",215,2,"alcohol & drugs","^ice$",2004,1,1,"Now, what's cooler than being cool? (Ice Cold!)","""I can't hear ya"""
"kiss",221,0,"hide away","Daya",216,1,"sexual","^kiss",2016,1,1,"Boys seem to like the girls who like to kiss and tell","Where do the good boys go to hide away, hide away?*"
"undress",221,0,"hide away","Daya",216,1,"sexual","^undress",2016,1,1,"The ones who get undressed before the second date","The ones who get impressed before the second date"
"kill",223,0,"high hopes","Panic! at the Disco",217,4,"violence","^kill",2019,1,1,"Shooting for the stars when I couldn't make a killing","Shooting for the stars when you knew that I was willing"
"high",223,44,"high hopes","Panic! at the Disco",217,46,"alcohol & drugs","^high$",2019,1,1,"High, high hopes","High, high hopes"
"pill",222,1,"higher","Taio Cruz",613,2,"alcohol & drugs","^pill$",2002,1,1,"I got this high without takin' a pill (Pill)","Just for the thrill"
"bleed",NA,0,"hold on","Good Charlotte",220,2,"violence","^bleed",2004,1,1,"But we all bleed the same way as you do",NA
"sleep",NA,0,"hold on","Good Charlotte",220,1,"sexual","^sleep",2004,1,1,"And your nights, you can't sleep at all",NA
"ass",227,0,"honey, i'm good.","Andy Grammer",614,1,"profanity","^ass$",2017,1,1,"I got her and she got me and you got that ass","Now better ones than me have failed"
"damn",227,0,"honey, i'm good.","Andy Grammer",614,1,"profanity","^damn",2017,1,1,"And these long, long legs are damn near everywhere","It's been a long night here"
"drink",227,0,"honey, i'm good.","Andy Grammer",614,1,"alcohol & drugs","^drink",2017,1,1,"Drinking from that unholy grail","To another I will stay true"
"men",227,0,"honey, i'm good.","Andy Grammer",614,1,"identity","^men$",2017,1,1,"Now, better men than me have failed","I've got to bid you adieu"
"legs",227,0,"honey, i'm good.","Andy Grammer",614,1,"sexual","^legs$",2017,1,1,"And these long, long legs are damn near everywhere","It's been a long night here"
"unholy",227,0,"honey, i'm good.","Andy Grammer",614,1,"other","^unholy",2017,1,1,"Drinking from that unholy grail","To another I will stay true"
"bipolar",229,0,"hot n cold","Katy Perry",223,1,"other","^bipolar",2009,1,1,"Got a case of a love bipolar","Stuck on a roller coaster"
"bitch",229,0,"hot n cold","Katy Perry",223,1,"profanity","^bitch",2009,1,1,"Yeah, you PMS like a bitch; I would know","Yeah, you be a mess like a girl I would know"
"fight",229,3,"hot n cold","Katy Perry",223,4,"violence","^fight",2009,1,1,"We fight, we break up","We fight, we break up"
"kiss",229,3,"hot n cold","Katy Perry",223,4,"sexual","^kiss",2009,1,1,"We kiss, we make up","We kiss, we make up"
"champagne",228,0,"hotline bling","Drake",224,1,"alcohol & drugs","^champagne$",2016,1,1,"Glasses of champagne out on the dance floor","You used to call me on my cell phone"
"touch",228,0,"hotline bling","Drake",224,1,"sexual","^touch",2016,1,1,"Why you always touching road?",NA
"bang",230,0,"how do you sleep?","Jesse McCartney",615,1,"sexual","^bang$",2009,1,1,"Not only does your body bang","The letter you wrote me it still smells just like you"
"body",230,0,"how do you sleep?","Jesse McCartney",615,1,"sexual","^body$",2009,1,1,"Not only does your body bang","The letter you wrote me it still smells just like you"
"damn",230,0,"how do you sleep?","Jesse McCartney",615,6,"profanity","^damn",2009,1,1,"Damn those sweet memories","See things that I didn't before"
"sleep",230,13,"how do you sleep?","Jesse McCartney",615,16,"sexual","^sleep",2009,1,1,"How do you, how do you sleep?","How do you sleep?"
"crazy",231,0,"how do you sleep? (sam smith)","Sam Smith",616,1,"other","^crazy$",2019,1,1,"I am not this desperate, not this crazy","I am not this desperate, not, so ain't me"
"drunk",233,0,"how long","Charlie Puth",226,1,"alcohol & drugs","^drunk",2018,1,1,"I was drunk, I was gone, that don't make it right, but","Promise there were no feelings involved, mmh"
"creep",233,3,"how long","Charlie Puth",226,4,"other","^creep",2018,1,1,"You've been creepin' 'round on me","While you're callin' me ""baby"""
"hell",239,0,"i don't care","Ed Sheeran & Justin Bieber",229,1,"profanity","^hell$",2019,1,1,"Finish my drink, say, ""Shall we dance?"" (Hell, yeah)","Finish my drink, say, ""Shall we dance?"" Oh yeah"
"kiss",239,0,"i don't care","Ed Sheeran & Justin Bieber",229,1,"sexual","^kiss",2019,1,1,"Read your lips, I'd rather kiss 'em right back","Move your lips, I'd rather say it right back"
"booty",240,0,"i don't like it, i love it","Flo Rida",619,1,"sexual","^booty",2015,1,1,"Feel the bass, let ya booty go","I don't like it, no, I love it, I love it"
"bullet",242,0,"i don't wanna live forever","ZAYN & Taylor Swift",230,1,"violence","^bullet",2017,1,1,"Wondering if I dodged a bullet or just lost the love of my life","I don't wanna live forever"
"god",248,0,"i gotta feeling","The Black Eyed Peas",232,3,"other","^god",2010,1,1,"Go out and smash it like, ""Oh, my God!""","Let's paint the town, we'll shut it down"
"bang",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"sexual","^bang$",2018,1,1,"This is the new religion bang in Latino gang, gang, ¡yeh!","I said I like it like that"
"bitch",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,5,"profanity","^bitch",2018,1,1,"Where's my pen? Bitch I'm signin' (Signin')","I like going to the jeweler, I put rocks all in my watch (Yeah)"
"blow",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,3,"alcohol & drugs","^blow",2018,1,1,"Drop the top and blow the brains, woo (Woo, I said I like it like that)","I said I like it like that"
"body",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"sexual","^body$",2018,1,1,"They call me Cardi Bardi, banging body","Eating halal, driving the Lam'"
"club",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"other","^club$",2018,1,1,"I spend in the club what you have in the bank (¡Wuh; ¡yeh!)","Kidz Bop makes it perfect (I said I like it)"
"gang",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,12,"violence","^gang",2018,1,1,"Certified, you know I'm gang, gang, gang, gang (I said I like it like—woo)","KB"
"diablo",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"other","^diablo",2018,1,1,"El Diablo me llama, pero Jesucristo me abraza (Amén)","Diamond district in the jack, jack (I said I like it like that)"
"nigga",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"profanity","^nigga",2018,1,1,"I like proving niggas wrong","They dancing on top of the roof"
"hookah",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,3,"alcohol & drugs","^hookah$",2018,1,1,"Y arranca pa'l carajo, cabrón, que a ti no te vo'a pasar la hookah (Hookah, hookah)",NA
"shit",251,0,"i like it","Cardi B, Bad Bunny & J Balvin",235,1,"profanity","^shit",2018,1,1,"I run this shit like cardio","Beat it up like piñatas (I said I like it like-)"
"bed",252,0,"i like me better","Lauv",236,1,"sexual","^bed$",2018,1,1,"Waking up in this bed next to you swear the room, yeah, it got no ceiling","I knew from the first time"
"drunk",252,0,"i like me better","Lauv",236,1,"alcohol & drugs","^drunk",2018,1,1,"To be drunk and in love in New York City","But still know that I'm good"
"damn",252,0,"i like me better","Lauv",236,2,"profanity","^damn",2018,1,1,"Damn","To be young and in love in New York City"
"bitch",254,0,"i love it","Icona Pop",238,2,"profanity","^bitch",2013,1,1,"You're from the '70s, but I'm a '90s bitch","You're from the 70's, but I'm a Kidz Bop Kid!"
"damn",254,0,"i love it","Icona Pop",238,2,"profanity","^damn",2013,1,1,"You're so damn hard to please, we gotta kill this switch","You're so,so hard to please, we gotta flip this switch"
"kill",254,0,"i love it","Icona Pop",238,2,"violence","^kill",2013,1,1,"You're so damn hard to please, we gotta kill this switch","You're so,so hard to please, we gotta flip this switch"
"shit",254,0,"i love it","Icona Pop",238,3,"profanity","^shit",2013,1,1,"I threw your shit into a bag and pushed it down the stairs","I threw your stuff into a bag and pushed it down the stairs"
"high",262,0,"i need your love","Calvin Harris",239,4,"alcohol & drugs","^high$",2014,1,1,"I feel so high, I come alive","When everything's wrong"
"bleed",NA,0,"i want you to know (ft. selena gomez)","Zedd",241,7,"violence","^bleed",2017,1,1,"You and me bleed the same light",NA
"cut",259,0,"i'm so tired...","Lauv & Troye Sivan",246,1,"violence","^cut$",2019,1,1,"Buzz cut season like you're still around","Strangers"
"kill",259,0,"i'm so tired...","Lauv & Troye Sivan",246,1,"violence","^kill",2019,1,1,"Strangers, killing my lonely nights with strangers","So tired of love songs, tired of love songs"
"bless",NA,0,"i'm still in love with you (ft. sasha)","Sean Paul",247,4,"other","^bless",2004,1,1,"This blessed love will never part",NA
"man",NA,0,"i'm still in love with you (ft. sasha)","Sean Paul",247,12,"identity","^man$",2004,1,1,"That a man is just a man",NA
"body",NA,0,"i'm still in love with you (ft. sasha)","Sean Paul",247,1,"sexual","^body$",2004,1,1,"And a-make your body twirl",NA
"thug",NA,0,"i'm still in love with you (ft. sasha)","Sean Paul",247,1,"violence","^thug",2004,1,1,"A true me give her thug love and say, ""bye, bye, bye""",NA
"kiss",NA,0,"i'm still in love with you (ft. sasha)","Sean Paul",247,4,"sexual","^kiss",2004,1,1,"I and I nuh have no time for no kissing and charm",NA
"bed",260,0,"i'm the one","DJ Khaled",622,1,"sexual","^bed$",2017,1,1,"She don't got no bed frame, she don't got no tables","Don't you know, girl? Don't you know, girl?"
"bitch",260,0,"i'm the one","DJ Khaled",622,3,"profanity","^bitch",2017,1,1,"Baby, that's only me, bitch, it okay with me","I am the one for you (I'm the one)"
"body",260,1,"i'm the one","DJ Khaled",622,2,"sexual","^body$",2017,1,1,"Not just any fuckin' body",NA
"booty",260,0,"i'm the one","DJ Khaled",622,1,"sexual","^booty",2017,1,1,"Then she went and put that booty on that Gucci belt","Oh-eh-oh-oh-oh, eh-oh"
"bottle",260,0,"i'm the one","DJ Khaled",622,1,"alcohol & drugs","^bottle",2017,1,1,"She say she want bottles, she ain't got no table","Okay though"
"club",260,0,"i'm the one","DJ Khaled",622,1,"other","^club$",2017,1,1,"When I met her in the club I asked her who she felt","I'm the one"
"coochie",260,0,"i'm the one","DJ Khaled",622,1,"sexual","^coochie",2017,1,1,"She like the price, she see the ice, it make her coochie melt","Oh-eh-oh-oh-oh, eh-oh"
"god",260,0,"i'm the one","DJ Khaled",622,3,"other","^god",2017,1,1,"Oh my God, she hit me up all day, get no response",NA
"fuck",260,0,"i'm the one","DJ Khaled",622,1,"profanity","fuck",2017,1,1,"Not just any fuckin' body",NA
"gang",260,0,"i'm the one","DJ Khaled",622,1,"violence","^gang",2017,1,1,"Mula Gang, winnin' record",NA
"molly",260,0,"i'm the one","DJ Khaled",622,1,"alcohol & drugs","^molly$",2017,1,1,"And when she on the molly, she a zombie",NA
"high",260,0,"i'm the one","DJ Khaled",622,1,"alcohol & drugs","^high$",2017,1,1,"Bitch, you blow my high",NA
"ice",260,0,"i'm the one","DJ Khaled",622,1,"alcohol & drugs","^ice$",2017,1,1,"She like the price, she see the ice, it make her coochie melt","Oh-eh-oh-oh-oh, eh-oh"
"nigga",260,0,"i'm the one","DJ Khaled",622,1,"profanity","^nigga",2017,1,1,"She want a nigga that pull her hair and hold the door for her","Don't you know, girl? Don't you know, girl?"
"damn",261,0,"i'm yours","Jason Mraz",248,2,"profanity","^damn",2009,1,1,"Open up your plans and, damn, you're free","And it's our God-intended right to be loved"
"bitch",236,0,"ice box","Omarion",249,1,"profanity","^bitch",2007,1,1,"Omarion, bitch",NA
"damn",236,0,"ice box","Omarion",249,4,"profanity","^damn",2007,1,1,"Damn these memories (Uh), and it's crazy (Uh)","That means memories and it's crazy"
"fight",236,3,"ice box","Omarion",249,8,"violence","^fight",2007,1,1,"Fussin' and fightin', we back at it again (Again)","Fussin' an' fightin', we back at it again"
"nigga",236,0,"ice box","Omarion",249,2,"profanity","^nigga",2007,1,1,"Good with ma, good with pa, cool with all my niggas (My niggas)","Good with ma, good with pa, cool with all my friends"
"ice",236,8,"ice box","Omarion",249,13,"alcohol & drugs","^ice$",2007,1,1,"I got this ice box where my heart used to be (But I got this)","But I got this ice box where my heart used to be"
"drink",245,0,"if i can't have you","Shawn Mendes",252,7,"alcohol & drugs","^drink",2019,1,1,"Can't drink without thinkin' about you","Can't think without thinking about you"
"drink",263,0,"in my blood","Shawn Mendes",255,1,"alcohol & drugs","^drink",2018,1,1,"Just have a drink and you'll feel better","Just have a think and you'll feel better"
"ass",264,0,"in my feelings","Drake",256,12,"profanity","^ass$",2018,1,1,"Bring that ass, bring that ass, bring that ass back!","Kiki, do you love me? Are you with me?"
"bitch",264,0,"in my feelings","Drake",256,1,"profanity","^bitch",2018,1,1,"Two bad bitches and we kissin' in the Wraith","And I'm down for you always"
"champagne",264,0,"in my feelings","Drake",256,1,"alcohol & drugs","^champagne$",2018,1,1,"I buy you Champagne but you love some Henny","Yeah, yeah, KB, baby"
"fuck",264,0,"in my feelings","Drake",256,2,"profanity","fuck",2018,1,1,"Fuck that Netflix and chill—what's your net-net-net worth?","'Cause I want ya, and I need ya"
"henny",264,0,"in my feelings","Drake",256,1,"alcohol & drugs","^henny$",2018,1,1,"I buy you Champagne but you love some Henny","Yeah, yeah, KB, baby"
"nigga",264,0,"in my feelings","Drake",256,2,"profanity","^nigga",2018,1,1,"I got a new boy, and that nigga trade!","Say you'll never ever leave from beside me"
"kill",264,0,"in my feelings","Drake",256,1,"violence","^kill",2018,1,1,"I swear you gotta feel me before they try and kill me","Look, the new me is really still the real me"
"kiss",264,0,"in my feelings","Drake",256,3,"sexual","^kiss",2018,1,1,"Two bad bitches and we kissin' in the Wraith","And I'm down for you always"
"smoke",264,0,"in my feelings","Drake",256,1,"alcohol & drugs","^smoke",2018,1,1,"Skate and Smoke and Rap","Gotta be real with it, yup"
"neck",264,0,"in my feelings","Drake",256,1,"sexual","^neck$",2018,1,1,"I show him how that neck work","Code to the safe, code-code to the safe-safe"
"shit",264,0,"in my feelings","Drake",256,3,"profanity","^shit",2018,1,1,"This shit got me in my feelings","I buy you somethin' cost more than a penny"
"bed",265,0,"irreplaceable","Beyoncé",260,1,"sexual","^bed$",2007,1,1,"'Cause you made your bed","You must not know 'bout me"
"man",265,0,"irreplaceable","Beyoncé",260,2,"identity","^man$",2007,1,1,"Talkin' 'bout, how I'll never ever find a man like you","Telling me how I'm such a fool"
"touch",265,1,"irreplaceable","Beyoncé",260,2,"sexual","^touch",2007,1,1,"Yes, if I bought it, please don't touch (Don't touch)","In the closet, that's my stuff"
"high",266,0,"issues","Julia Michaels",261,1,"alcohol & drugs","^high$",2017,1,1,"When I'm high, I don't come down","When I'm up I don't come down"
"shit",266,0,"issues","Julia Michaels",261,1,"profanity","^shit",2017,1,1,"You do shit on purpose","And got hands like an ocean"
"drunk",267,0,"it ain't me","Kygo & Selena Gomez",262,2,"alcohol & drugs","^drunk",2017,1,1,"When you're drunk and all alone?","It ain't me"
"high",267,0,"it ain't me","Kygo & Selena Gomez",262,1,"alcohol & drugs","^high$",2017,1,1,"Nowhere's high enough","Somewhere along the lines"
"sippin",267,0,"it ain't me","Kygo & Selena Gomez",262,1,"alcohol & drugs","^sippin",2017,1,1,"We were sipping whiskey neat","Highest floor, The Bowery"
"whiskey",267,0,"it ain't me","Kygo & Selena Gomez",262,11,"alcohol & drugs","^whiskey",2017,1,1,"We were sipping whiskey neat","Highest floor, The Bowery"
"body",269,0,"it girl","Jason Derulo",264,1,"sexual","^body$",2012,1,1,"If I get your body close, not letting go","Let me play it loud"
"drunk",269,0,"it girl","Jason Derulo",264,1,"alcohol & drugs","^drunk",2012,1,1,"They don't get another shot 'cause you're love drunk","Dropping like flies around you"
"crazy",269,1,"it girl","Jason Derulo",264,3,"other","^crazy$",2012,1,1,"Crazy how we fit, girl, this is it, girl","Hang with me well be just fine"
"crime",269,0,"it girl","Jason Derulo",264,3,"violence","^crime",2012,1,1,"Loving you could be a crime","Baby you're the it girl"
"maniac",269,0,"it girl","Jason Derulo",264,1,"other","^maniac",2012,1,1,"I been like a maniac, insomniac","Tell them other girls, they can hit the exit"
"shit",269,0,"it girl","Jason Derulo",264,3,"profanity","^shit",2012,1,1,"You can be my it girl, baby, you the shit, girl","You could be my it girl"
"dead",272,0,"it's not over","Daughtry",269,3,"violence","^dead$",2007,1,1,"'Cause a part of me is dead and in the ground","We're wasting too much time"
"kill",272,0,"it's not over","Daughtry",269,4,"violence","^kill",2007,1,1,"This love is killing me, but you're the only one","Being strong, holding on"
"hellish",275,0,"jealous","Nick Jonas",270,3,"profanity","^hellish$",2015,1,1,"It's my right to be hellish","It's my right to be jealous"
"puff",275,2,"jealous","Nick Jonas",270,3,"alcohol & drugs","^puff",2015,1,1,"And I'm puffing my chest","And I'm buffing my chest"
"sex",275,0,"jealous","Nick Jonas",270,6,"sexual","^sex",2015,1,1,"'Cause you're too sexy beautiful","'Cause you're too pretty, beautiful"
"god",276,0,"jenny from the block","Jennifer Lopez",623,1,"other","^god",2003,1,1,"Put God first and can't forget to stay real (Real)","Don't be fooled by the rocks that I got"
"men",276,0,"jenny from the block","Jennifer Lopez",623,1,"identity","^men$",2003,1,1,"Men go working, some go stealing","I'm still, I'm still Jenny from the block"
"women",276,0,"jenny from the block","Jennifer Lopez",623,1,"identity","^women$",2003,1,1,"Children grow and women producing","Don't be fooled by the rocks that I got"
"fight",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,1,"violence","^fight",2017,1,1,"And ready to fight",NA
"crazy",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,1,"other","^crazy$",2017,1,1,"Go crazy, ayy",NA
"drink",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,1,"alcohol & drugs","^drink",2017,1,1,"Besides drinking and having parties",NA
"god",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,2,"other","^god",2017,1,1,"Girl 1: Oh my god, oh my god. Girl ain't that Zay and Zayion?",NA
"freak",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,1,"sexual","^freak",2017,1,1,"Get freaky, ayy",NA
"man",NA,0,"juju on that beat (tz anthem) (ft. zayion mccall)","Zay Hilfigerrr",271,8,"identity","^man$",2017,1,1,"Running man on that beat, ayy",NA
"woman",278,0,"just a dream","Nelly",625,1,"identity","^woman$",2011,1,1,"My woman, oh I miss her, when will I learn?","No one knows"
"victim",280,0,"just give me a reason","P!nk",273,1,"violence","^victim",2013,1,1,"And I your willing victim","And I your willing person I let you see the parts of me"
"sleep",280,0,"just give me a reason","P!nk",273,1,"sexual","^sleep",2013,1,1,"Now you've been talking in your sleep","Of our love, our love Just give me a reason"
"touch",280,0,"just give me a reason","P!nk",273,1,"sexual","^touch",2013,1,1,"And with every touch you fixed them","Tell me that you've had enough"
"bras",NA,0,"just got paid (ft. french montana)","Sigala, Ella Eyre & Meghan Trainor",274,1,"sexual","^bras$",2019,1,1,"Sports bras, sports car drive",NA
"drink",NA,0,"just got paid (ft. french montana)","Sigala, Ella Eyre & Meghan Trainor",274,2,"alcohol & drugs","^drink",2019,1,1,"I know I drink too much, can't pay my rent this month",NA
"ball",NA,0,"just got paid (ft. french montana)","Sigala, Ella Eyre & Meghan Trainor",274,6,"other","^ball",2019,1,1,"I'm broke, but I'm ballin'",NA
"wine",NA,0,"just got paid (ft. french montana)","Sigala, Ella Eyre & Meghan Trainor",274,1,"alcohol & drugs","^wine$",2019,1,1,"Crush grapes, we don't do the wine",NA
